StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_7_TEXT,Q3,Q3_4_TEXT,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
2024-01-09T15:22:31Z,2024-01-09T15:56:56Z,IP Address,67.44.208.6,100,2065,TRUE,2024-01-09T15:56:57Z,R_3qmcPE9RXGXyClP,NA,35.2296,-80.843,email,EN,Yes,Consultant,NA,Nexus of mental health & migration and asylum,NA,30,North America,Yes,Yes,"1. reflect on how their own cultural knowledge, views, and practical approaches may be limited with asylum seekers from diverse cultural backgrounds;
2. understand that people from different cultures may have different idioms of distress and modalities for reducing the distress;
3. avoid imposing their own views and approaches on asylum seekers;
4. appreciate that terms such as 'mental health' and 'mental disorder' can be stigmatizing for people from other cultures;
5. be able to listen respectfully to asylum seekers, without judging them;
6. be aware of how fearful asylum seekers may be of talking openly since they may face discrimination, detainment, denial of entry, deportation, family separation and related problems;
7. understand where the asylum seekers have been, what kinds of situations they were likely exposed to, and what they see as their top priorities;
8. be able to establish trust with people from diverse cultures;
9. use psychological first aid (PFA);
10. understand how mental health problems can be aggravate by problems such as discrimination, poor access to health care, shelter and other necessities, and poor coordination among different services for asylum seekers;
11. engage in self-care and well-being among helpers;
12. understand the importance of keeping families together in a safe place;
13. know how to help prevent gender-based violence and child protection violations;
14. be humble and supportive;
15. respect the Do No Harm imperative.",IASC Guidelines on Mental Health and Psychosocial Support in Emergency Settings,Probably yes,"1. Technical terms such as 'mental health' can be highly stigmatizing;
2. It is highly important to understand how the asylum seeker understands their situation, what they see as their main problems, and what they see as most helpful;
3. Western derived categories and interventions may not be appropriate or may not fit the context and cultures present very well;
4. A holistic, multi-sectoral approach is crucial and that discussions may need to consider economic, health, food-related and other issues tha interrelated with mental health;
5. A cultural approach begins with deep listening and humility;
6. It is possible to blend insights and approaches from diverse cultures in ways that promote well-being;
7. Peer and informal social supports (such as talking with other aylum seekers from your own country or region) can promote well-being;
8. People who differ along lines of gender and developmental stage may have very different issues and may need different kinds of supports;
9. Many asylum seekers are from collectivist societies and individualized approaches may be highly inappropriate;
10. Knowledge and power are richly interconnected, and Western pockets of power such as psychiatric associations have often disavowed the importance of culture in understanding and addressing mental health and have often denigrated cultural beliefs and practices as mere 'folklore' or 'superstition' that Western science needs to correct;
11. They are not counselors or mental health specialists and need to understand their role clearly.
",This was discussed above..,This was discussed above.
2024-01-09T21:00:21Z,2024-01-09T21:19:28Z,IP Address,79.161.163.123,100,1147,TRUE,2024-01-09T21:19:30Z,R_2K1cV6DEQMKCa2J,NA,60.4853,5.2577,email,EN,Yes,Lecturer/Trainer,NA,Migration and asylum,NA,20,Europe,No,No,"1. be aware of their own culture
2.  be culturally humble
3. be culturally sensitive
4. be culturally tolerant
5. be aware of one's ethnocentrism
",Intercultural sensitivity of Milton Bennett,Probably yes,"1. their own cultural biases can impact negatively on the clients
2. ethnocentrism can hinder the work
3. lack of cultural humility may be seen as arrogance 
","1.be empathetic
2. have the ability to listen with genuine interest
3. have the ability to allowing client to speak without interruption
4. the ability to work together with the client and listen to their needs and concerns
","1. their own uncertainties
2. their attitudes towards cultural differences
3. their reasons for engaging in this kind of profession"
2024-01-10T01:27:56Z,2024-01-10T20:39:50Z,IP Address,71.176.244.10,100,69113,TRUE,2024-01-10T20:39:51Z,R_6TFbt1IIhPQhRzI,NA,37.7252,-77.5546,email,EN,Yes,Academic researcher,NA,Nexus of mental health & migration and asylum,NA,21,North America,Yes,No,"1) Engage in comprehensive training focusing on cultural competence and sensitivity to enhance their understanding of diverse cultural norms and values;
2) Demonstrate a deep respect and understanding of the varied cultural, religious, and social backgrounds that asylum seekers come from, acknowledging the impact these factors can have on mental health;
3) Utilize professional interpreters or employ staff fluent in multiple languages to overcome language barriers, ensuring clear and empathetic communication;
4) Foster a safe and welcoming environment that encourages trust and rapport, making asylum seekers feel valued and understood;
5) Develop an acute awareness of the specific traumas and stresses that asylum seekers may have encountered, including the impact of displacement and acculturation stress;
6) Actively collaborate with community leaders and cultural informants to gain insights into the unique needs and viewpoints of the asylum seeker community;
7) Clearly communicate the confidentiality and objectives of the mental health services provided, establishing transparency and trust;
8) Facilitate connections with relevant community resources and support networks, aiding in the integration and social support of asylum seekers;
9) Commit to ongoing professional development to stay abreast of the evolving landscape of transcultural mental health care; and 
10) Implement culturally tailored mental health assessment tools and therapeutic interventions that are sensitive to the cultural nuances of the asylum seekers.","IASC's MHPSS guidelines (but my work is not primarily with asylum seekers, but refugees in resettlement or in urban displacement)",Might or might not,"1) The cultural stigma associated with mental health varies considerably, influencing how individuals from different backgrounds perceive and engage in discussions about mental health issues; 2) Establishing trust and rapport is paramount, especially considering that asylum seekers may harbor a deep-seated mistrust of authorities or institutional systems due to their previous experiences; 3) The expression of mental health symptoms can vary dramatically across different cultures; recognizing these variations is vital in providing appropriate care, etc.","1) Communicate effectively across language and cultural barriers, possibly by utilizing translation services or developing multilingual skills; 2) Demonstrate empathy and active listening skills to understand the unique experiences and perspectives of asylum seekers; 3) Apply cultural competence in their practice, recognizing and respecting the diverse cultural backgrounds of the individuals they serve; 4) Identify and appropriately respond to signs of trauma and stress, which are common in asylum seekers due to their experiences; 5) Employ de-escalation techniques and manage emotional responses in a sensitive and effective manner; 6) 
Utilize culturally appropriate assessment tools and therapeutic techniques tailored to the individual's background and needs, etc.",1) commitment to cultural sensitivity and humility; 2) empathy and compassion; 3) belief in the dignity and worth of every individual; 4) motivation to advocate
2024-01-12T17:05:11Z,2024-01-12T17:21:08Z,IP Address,130.237.96.132,100,957,TRUE,2024-01-12T17:21:09Z,R_3aWxv8jimb1pcvW,NA,59.3241,18.0517,email,EN,Yes,Academic researcher,NA,Nexus of mental health & migration and asylum,NA,30,Europe,Yes,Yes,"have in mind your ""own rucksack"" and work for equity besides background. To use ethical principles and consider that you do not misuse your power",ADAPT model (D Silove) and Co-creation (Leask et al),Definitely yes,Studies regarding Evidence-based knowledge and clinical experience,"build up trust, give relevant information, needbased, transparency","Knowledge, skills and competence"
2024-01-12T23:32:04Z,2024-01-13T00:28:34Z,IP Address,99.227.62.251,100,3389,TRUE,2024-01-13T00:28:35Z,R_6QX2ScIiQEJEu9a,NA,43.8113,-79.188,email,EN,Yes,Practitioner,NA,Nexus of mental health & migration and asylum,NA,30,North America,Yes,No,"1. have an open mind; 2. be aware of their own biases; 3. be aware of differences in manifestations of distress; 4. look beyond Western psychological concepts; 5. be aware of category fallacy (Arthur Kleinman); 6. keep in mind language nuances; 7. know that things can get lost in translation; 8. pay attention to non-verbal communication; 9. know that majority of the cultures in the world are high-context; 10. remember that psych and soma are not seen as separate from each other in many cultures; 11. know that many cultures do not ""psychologize"" their mental health issues; 12. ask open ended questions; 13. not shift the focus away from what is emphasized by the asylum seekers and seen as priority; 14. should informally assess their level of acculturation with host culture; 15. know that their understanding of mental health concepts can be different; 16. use and interpret test results (if used) with caution.",I am unable to point to an existing framework or set of guidelines that I primarily draw upon in my own work. The Refugee Mental Health Framework which I developed with two other colleagues is based on our understanding of working with refugees and immigrants fleeing war.,Probably yes,"I have already included these in the previous question. My apologies, did not know there were specific questions differentiating knowledge, skills and other personal factors. 
I can add here:
...there is not much evidence-based knowledge that exists in the field.
...emotional distress is not always verbally expressed in majority of non-Western cultures.
...stigma can play a role in how much information is disclosed.
...what is traumatic can be very different from culture to culture.  
...there is an interplay of factors that can influence the situation of the asylum seekers at multiple levels, including program based services, systemic challenges, and political influences.","I have already included these in the previous question. My apologies, did not know there were specific questions differentiating knowledge, skills and other personal factors. 
I can add:
understand and define their role, not as saviors or educators, but to appreciate the wealth of knowledge and skills that the refugees bring, their resilience and natural ways of coping. To help the asylum seekers invest on and preserve their own strength. 
Set the priorities right, based on the needs of the asylum seekers and their world views.","I have already included these in the previous question. My apologies, did not know there were specific questions differentiating knowledge, skills and other personal factors. 
I can add:
...ability to differentiate between sympathy and empathy
...ability to take into consideration that one's own beliefs, attitudes and values can be different from those of the different asylum seeker groups."
2024-01-15T07:10:08Z,2024-01-15T08:18:30Z,IP Address,78.101.149.183,100,4101,TRUE,2024-01-15T08:18:31Z,R_2q3zSIaOs4x6tYB,NA,25.2925,51.5321,email,EN,Yes,Consultant,NA,Mental health,NA,26,Australia/Oceania,Yes,Yes,"Understand the current circumstances of asylum seekers.
Have general understanding of the background of where the asylum seeker is coming from
","UN conflict guidelines 
Existing local guidelines",Might or might not,Asylum seekers can be scared to volunteer information initially; might have had extra trauma during their journey to reach asylum place; fearful about the fate of missing relatives or family members; mental health issues can present with physical complaints that are more socially/culturally acceptable.,Be patient; resilient; sympathetic and helpful,Willingness to help; professionalism; set realistic expectations; follow through what they promised to do; show good understanding of where to direct asylum seekers for extra help
2024-01-08T09:59:40Z,2024-01-15T08:42:21Z,IP Address,147.161.246.162,100,600161,TRUE,2024-01-15T08:42:22Z,R_2lE6605fvAjQVdj,NA,47.3682,8.5671,email,EN,Yes,Other (please specify),head of the MHPSS sector of a UN Agency,Nexus of mental health & migration and asylum,NA,22,Europe,Yes,Yes,"be culturally aware about the basics of the mainstream culture of the people they are interacting with, but also able not to stigmatize individuals based on the cultural elements they (the frontline workers) have learned, since each indovidual can have a different relation with the mainstream culture of their country",the IOM-EU traninings for Security and Health workers on Mental health and population mobility. the IOM internal trainings and videos; the cultural diversity management framewrok and tools of the MInkowska Center in Paris.,Definitely yes,"a) idioms of mental health differ
b) for most people in the world, mental health refers to the spiritual and not the biological or biopsychological sphere
c) they should not do harm bringing the conversation to a space they do not have the capacity to control/facilitate
d) that some behaviours require immediate professional follow up in a life saving fashion
e) that experinces of suffering are unique beyond cultural constructs
f) their own cultural biases and mental health biases","listen actively,
give undivided attention
be emphatic and not sympathic
rephrase and validate
know their limits
respond to immediate concerns
know how to provide PFA and
how to work with translators","empathy
undivided attention
willingness to listen
drive to relate
capacity to overcome biases and microbiases
openess to other cultures
interest in other cultures"
2024-01-15T09:28:55Z,2024-01-15T09:44:56Z,IP Address,165.225.80.242,100,960,TRUE,2024-01-15T09:44:57Z,R_7yrrdwMIvhuy9hi,NA,51.5026,-0.066,email,EN,Yes,Practitioner,NA,Mental health,NA,15,Asia,Yes,No,belong to the asylum seekers culture or have experience working with asylum seekers and preferably know the asylum seekers language.,"IASC MHPSS minimum standards, SPHERE and my own organization quality and ethical guidelines",Probably yes,"know the culture background, values and habits (cultural sensitivity) understand and preferably speak the language","Be adaptable in communication styles, taking into consideration variations in non-verbal cues and expressions. Show empathy and practice active listening. Understand the mental health specificities (stigma related to MH, meaning of feeling well or unwell) of the culture, understand impact of trauma on mental health and be able to provide recognize and respond or refer to signs of trauma


","Empathy and the humanitarian values (independence, humanity, impartiality, and neutrality)"
2024-01-15T09:03:18Z,2024-01-15T11:22:57Z,IP Address,80.189.21.4,100,8378,TRUE,2024-01-15T11:22:58Z,R_5pSo8zXOsfCxZIz,NA,51.5788,-0.1235,email,EN,Yes,Practitioner,NA,Mental health,NA,20,Europe,Yes,No,"1) Ensure that you have an interpreter with whom you can also consult about meanings and misunderstandings;
2) Search for ways to make a connection with the person to try to create a context for a conversation;
3) Ideally have some knowledge of the person's culture of origin and the context from which they fled / left, and in more general terms the hazards of the journey they would have undertaken prior to the conversation if at all possible
4) Have acquired knowledge of the person's/community's cultural conception of mental health - how persons communicate distress;
5) Keep in mind that a person may have had to tell their story many times over and at times in hostile circumstances;
6) Keep in mind that it is more helpful to focus on the effects of what someone has experienced / endured than have someone recount what they have experienced;
7) Pay attention to mind-body connections. Asylum seekers often have problems with sleeping and eating due to patterns built up during their journeys and would benefit from collaboration around how to manage these;
8) Explore what has sustained the person throughout their experiences and try to identify with the person how they might continue to use these resources and build on them;
9) Find ways to enable a person to sustain their relationship with others. For unaccompanied minors these are often those with whom they have made the journey who have become like family;
10) Keep in mind that sometimes very brief mindfulness practices such as focusing on your breath while tracing your hand can help someone take some control of their panic or fear;
11) Realise / acknowledge that there are spikes of acute anxiety around asylum applications and accomodation issues;
12) Name injustices;
13) Always keep the context in focus;
14) Find ways to normalise responses to stress as some people carry a fear that they are going mad;

","Narrative-systemic, liberation psychology and social justice approaches have been helpful.",Definitely yes,"1) distress can take many forms which are different in different cultures
2) a sense of powerlessness is corrosive so if an asylum seeker can find a way to be effective in their own life even in a small way it can make a difference;
3) even short therapeutic consultations can be significant. It is important to notice and identify significant moments especially in an extremely stressful context of overwhelming need
4) it is crucial to think relationally and contextually
","1) work collaboratively with interpreters and asylum seekers;
2) follow an asylum seeker's feedback rather than your own 'plan' for a conversation;
3) work at many levels (body-mind-context) and try to keep these connected
4) become and stay aware of your own beliefs and assumptions to avoid imposing these on an asylum seeker
5) keep in mind the power inequalities in the relationship which cannot be erased but may be mitigated in the relationship in a number of ways
6) find ways in their personal-professional life to manage their sense of privilege which so often gets heightened in this work.","1) commitment to social justice and acknowledgment of the social injustices which the asylum seeker has experienced / is experiencing
2) willingness to discuss their work and its dilemmas with colleagues / supervisors and to stay open to discovering the assumptions they carry to avoid having these shape the work
3) ability to take care of themselves and see this as part of the work to sustain their capacity to do it
4) ability to identify why they want to do this work and to develop self-reflexivity in the work"
2024-01-15T11:44:44Z,2024-01-15T11:55:18Z,IP Address,129.177.198.47,100,633,TRUE,2024-01-15T11:55:19Z,R_41qoVspNApmcL1D,NA,60.3799,5.3275,email,EN,Yes,Academic researcher,NA,Nexus of mental health & migration and asylum,NA,7,Europe,Yes,No,"1. Be able to provide a culturally safe environment.
2. Actively collaborate with Peer Workers sharing the background and lived experience of the target population.
3. Safeguard human rights for asylum seekers.
4. Be trained in scalable psychological interventions (ex. PFA, SH+, PM+)","IASC Guidelines on Mental Health and Psychosocial Support in Emergency Settings, 2007",Probably yes,"1. People do not need to be pathologized or ""idealized"" in their respective settings.
","1. Have foundational helping skills.
2. Use concrete tools in their work that can guide their practice. 
3. Receive supervision and ongoing training that should be culturally adapted to the population they provide help to.
4. Know the basic legal system and be alert to identify violations of human rights in different levels.",1. Cultural awareness and cultural humility when interacting with people from diverse backgrounds. This should shape the attitude of the frontline workers and help them prioritize the needs of their target population.
